scrapeTime,resultTime,temp
2025-06-19T13:30:07.548Z,2025-06-19T13:29:54.121Z,24.3
2025-06-19T14:17:08.807Z,2025-06-19T14:16:51.079Z,24.9
2025-06-19T15:18:37.209Z,2025-06-19T15:17:29.739Z,25.6
2025-06-19T16:21:49.232Z,2025-06-19T16:21:03.237Z,25.8
2025-06-19T17:15:27.797Z,2025-06-19T17:15:02.043Z,26.5
2025-06-19T18:24:10.399Z,2025-06-19T18:23:26.249Z,26.3
2025-06-19T19:12:58.250Z,2025-06-19T19:12:42.052Z,27.7
2025-06-19T20:20:31.064Z,2025-06-19T20:19:27.779Z,29.3
2025-06-19T21:15:59.698Z,2025-06-19T21:15:29.942Z,29.0
2025-06-19T22:16:32.598Z,2025-06-19T22:14:18.403Z,28.0
2025-06-19T23:16:39.734Z,2025-06-19T23:15:39.111Z,23.3
2025-06-20T01:24:26.660Z,2025-06-20T01:23:26.023Z,22.0
2025-06-20T03:15:06.352Z,2025-06-20T03:14:53.999Z,22.9
2025-06-20T04:25:06.255Z,2025-06-20T04:24:30.254Z,21.1
2025-06-20T05:18:09.372Z,2025-06-20T05:17:28.067Z,19.9
2025-06-20T06:26:41.378Z,2025-06-20T06:25:24.738Z,19.6
2025-06-20T07:17:05.337Z,2025-06-20T07:16:26.455Z,19.2
2025-06-20T08:23:45.347Z,2025-06-20T08:22:56.439Z,17.0
2025-06-20T09:18:41.592Z,2025-06-20T09:17:22.195Z,16.7
2025-06-20T10:18:55.295Z,2025-06-20T10:18:12.670Z,16.4
2025-06-20T11:15:21.452Z,2025-06-20T11:13:22.668Z,16.1
2025-06-20T12:36:51.808Z,2025-06-20T12:35:26.861Z,15.5
2025-06-20T13:29:07.624Z,2025-06-20T13:28:28.890Z,15.6
2025-06-20T14:17:06.836Z,2025-06-20T14:15:27.898Z,16.6
2025-06-20T15:18:28.316Z,2025-06-20T15:16:25.261Z,18.5
2025-06-20T16:21:36.147Z,2025-06-20T16:20:31.258Z,19.4
